Id,Heading,Politik,Utbildning,Religion,Miljo,Ekonomi,LivsstilFritt,SamhalleKonflikter,Halsa,Idrott,VetenskapTeknik
662,Åtgärder mot handel med hyreskontrakt,1,0,0,0,1,0,0,0,0,0
663,Fler tillval för hyresgäster,0,0,0,0,1,0,0,0,0,0
664,Större frihet att bygga altaner,0,0,0,0,1,0,0,0,0,0
665,En ny regional planering,0,0,0,0,0,0,1,0,0,0
666,Om byggnaders energiprestanda,0,0,0,0,0,0,0,0,0,1
667,Skadeståndsansvar vid sjötransport av farliga och skadliga ämnen,1,0,0,0,1,0,0,0,0,0
668,Förbud mot erkännande av utländska barnäktenskap,1,0,0,0,0,0,1,0,0,0
669,Hushållningen med mark- och vattenområden,1,0,0,1,0,0,0,0,0,0
670,Ersättningsrätt och insolvensrätt,0,0,0,1,0,0,0,0,0,0
677,Riksrevisionens rapport om finansiell stabilitet,1,0,0,0,1,0,0,0,0,0
678,Riksrevisionens rapport om regeringens styrning av affärsverken,1,0,0,0,1,0,0,0,0,0
679,Ändrade regler för Första–Fjärde AP-fonderna,0,0,0,0,1,0,0,0,0,0
680,Finansiella företags uppgifter till brottsutredande myndigheter,1,0,0,0,1,0,1,0,0,0
681,Förbättrade förutsättningar för effektiv resolution av banker,0,0,0,0,1,0,0,0,0,0
682,Riksrevisionens rapport om tillämpningen av den kommunala finansieringsprincipen,1,0,0,0,1,0,0,0,0,0
683,Kompletterande bestämmelser till EU:s förordning om referensvärden,1,0,0,0,0,0,1,0,0,0
684,Aktivitetsgrad i fondförvaltning,0,0,0,0,1,0,0,0,0,0
685,Utgiftsområde 2 Samhällsekonomi och finansförvaltning,0,0,0,0,1,0,1,0,0,0
686,Riktlinjer för den ekonomiska politiken,1,0,0,0,1,0,0,0,0,0
688,Finansiell stabilitet och finansmarknadsfrågor,0,0,0,0,1,0,0,0,0,0
689,Riksbankens förvaltning 2018,0,0,0,0,1,0,0,0,0,0
690,Utvärdering av penningpolitiken för perioden 2016-2018,1,0,0,0,1,0,0,0,0,0
691,Statlig förvaltning och statistikfrågor,1,0,0,0,0,0,0,0,0,1
693,Riksrevisionens årsredovisning för 2018,1,0,0,0,0,0,0,0,0,0
694,Prövning av ärenden enligt EU:s förordning om värdepapperisering samt volatilitetsjustering för försäkringsföretag,1,0,0,0,1,0,0,0,0,0
695,Avvecklingssystem som inte omfattas av EU:s regelverk och föreskrifter om produktingripande,1,0,0,0,0,0,0,0,0,0
696,Utgiftsområde 25 Allmänna bidrag till kommuner,1,0,0,0,1,0,0,0,0,0
697,Årsredovisning för staten 2018,1,0,0,0,0,0,0,0,0,0
698,Riksrevisionens rapport om staten som inköpare av konsulttjänster,1,0,0,0,0,0,0,0,0,0
699,Riksrevisionens rapport om Riksgäldskontorets användning av ränteswappar,1,0,0,0,1,0,0,0,0,0
700,Extra ändringsbudget för 2019  Kapitalhöjning i Europeiska investeringsbanken,0,0,0,0,1,0,0,0,0,0
702,Möjlighet för företag i Förenade kungariket att under viss tid driva värdepappersrörelse utan krav på tillstånd,0,0,0,0,1,0,0,0,0,0
703,Extra ändringsbudget för 2019 - Sänkt moms på e-publikationer samt ändrad användning av vissa anslag,0,0,0,0,1,0,0,0,0,0
704,Kompletterande bestämmelser till EU:s förordning om transparens i transaktioner för värdepappersfinansiering och om återanvändning,1,0,0,0,1,0,0,0,0,0
705,Vissa betaltjänstfrågor,0,0,0,0,1,0,0,0,0,0
706,Ytterligare förlängd övergångsperiod för understödsföreningar,0,0,0,0,1,0,0,0,0,0
707,Utgiftsområde 26 Statsskuldsräntor m.m.,1,0,0,0,1,0,0,0,0,0
708,Kompletterande bestämmelser till EU:s prospektförordning,1,0,0,0,0,0,0,0,0,0
709,Riksrevisionens rapporter om räkenskapssammandragets tillförlitlighet och räkenskapssammandraget som underlag för kommunjämförelser,1,0,0,0,0,0,0,0,0,0
710,Stärkta åtgärder mot penningtvätt,0,0,0,0,1,0,0,0,0,0
711,Reglering av mikrosimuleringsmodellen Fasit,0,0,0,0,0,0,0,0,0,1
712,Statens roll på betalningsmarknaden,1,0,0,0,1,0,0,0,0,0
713,Utgiftsområde 27 Avgiften till Europeiska unionen,1,0,0,0,1,0,0,0,0,0
714,Redovisning av AP-fondernas verksamhet t.o.m. 2017,0,0,0,0,1,0,0,0,0,0
715,Skyldighet för vissa offentliga funktionärer att anmäla innehav av finansiella instrument,0,0,0,0,1,0,0,0,0,0
716,Stöd till djurägare inom lantbruket som drabbats av torkan 2018,1,0,0,1,1,0,0,0,0,0
718,Utgiftsområde 6 Försvar och samhällets krisberedskap,0,0,0,0,0,0,1,0,0,0
719,Riksrevisionens rapport Nationellt försvar på regional nivå,0,0,0,0,0,0,1,0,0,0
720,Riksrevisionens rapport om livsmedels- och läkemedelsförsörjning - samhällets säkerhet och viktiga samhällsfunktioner,0,0,0,0,0,0,1,1,0,0
721,Inrättande av försvarsgrensstaber,0,0,0,0,0,0,1,0,0,0
722,En ny kustbevakningslag,0,0,0,0,0,0,1,0,0,0
723,Integritetsskydd vid signalspaning i försvarsunderrättelseverksamhet,0,0,0,0,0,0,1,0,0,0
736,Högsta domstolens sammansättning i utlämningsärenden,0,0,0,0,0,0,1,0,0,0
737,Anpassning av lagen om passagerarregister till EU:s dataskyddsreform,1,0,0,0,0,0,0,0,0,1
738,Ett EU som skyddar: ett initiativ för att utsträcka Europeiska åklagar-myndighetens befogenheter till att även omfatta gränsöverskridande terroristbrott,1,0,0,0,0,0,1,0,0,0
739,Rättelse i lagen om ändring i rättegångsbalken,0,0,0,0,0,0,1,0,0,0
740,Genomförande av rättshjälpsdirektivet,0,0,0,0,0,0,1,0,0,0
741,Genomförande av barnrättsdirektivet och några andra straffprocessuella frågor,0,0,0,0,0,0,1,0,0,0
742,En modernare och mer ändamålsenlig prövning av hyres- och arrendeärenden,0,0,0,0,0,1,0,0,0,0
743,Stärkt ordning och säkerhet i domstol,0,0,0,0,0,0,1,0,0,0
744,Skärpt straff för subventionsmissbruk,0,0,0,0,1,0,1,0,0,0
745,Förstärkta återfallsförebyggande åtgärder vid villkorlig frigivning,0,0,0,0,0,0,1,0,0,0
746,Personuppgiftsbehandling i viss verksamhet som rör allmän ordning och säkerhet - anpassningar till EU:s dataskyddsreform,0,0,0,0,0,0,1,0,0,1
747,Datalagring vid brottsbekämpning - anpassningar till EU-rätten,0,0,0,0,0,0,1,0,0,1
748,Polisens tillgång till underrättelser från Försvarets radioanstalt,0,0,0,0,0,0,1,0,0,1
750,Brottsdatalag – kompletterande lagstiftning,0,0,0,0,0,0,1,0,0,1
751,Ett särskilt straffansvar för deltagande i terroristorganisation,0,0,0,0,0,0,1,0,0,0
752,Skärpt straff för subventionsmissbruk,0,0,0,0,1,0,1,0,0,0
753,Färre i häkte och minskad isolering,0,0,0,0,0,0,1,0,0,0
754,Datalagring – brottsbekämpning och integritet,0,0,0,0,0,0,1,0,0,1
755,Polisens tillgång till uppgifter från signalspaning,0,0,0,0,0,0,1,0,0,1
756,Genomförande av 2017 års ändringsdirektiv till EU:s vapendirektiv,1,0,0,0,0,0,1,0,0,0
757,Ett särskilt straffansvar för deltagande i terroristorganisation,0,0,0,0,0,0,1,0,0,0
758,Riksrevisionens rapport om utbytet av underrättelseinformation mellan Polismyndigheten och Säkerhetspolisen,1,0,0,0,0,0,1,0,0,0
759,Stärkt rättssäkerhet i de allmänna förvaltningsdomstolarna,0,0,0,0,0,0,1,0,0,0
760,En modernisering av lagen om skiljeförfarande,1,0,0,0,0,0,0,0,0,0
761,Återinförande av direktförverkande i samband med föreläggande av ordningsbot,1,0,0,0,0,0,0,0,0,0
762,2018 års redogörelse för tillämpningen av lagen om särskild utlänningskontroll,1,0,0,0,0,0,0,0,0,0
763,Redovisning av användningen av hemliga tvångsmedel under 2017,1,0,0,0,0,0,0,0,0,0
764,"Utgiftsområde 17 Kultur, medier, trossamfund och fritid",0,0,0,0,0,1,1,0,0,0
771,Långsiktig finansiering och stärkt oberoende för public service,0,0,0,0,1,1,0,0,0,0
772,En politik för engagemang - långsiktighet och oberoende för civilsamhället,1,0,0,0,0,0,1,0,0,0
780,Granskning av statsrådens tjänsteutövning och regeringsärendenas handläggning,1,0,0,0,0,0,0,0,0,0
781,Justitieombudsmännens ämbetsberättelse,1,0,0,0,0,0,0,0,0,0
782,Stärkt skydd för valhemligheten,1,0,0,0,0,0,1,0,0,0
783,Nystart för en stärkt minoritetspolitik,1,0,0,0,0,0,1,0,0,0
784,"Översyn av Riksrevisionen - vissa frågor om riksdagen och Riksrevisionen, m.m.",1,0,0,0,0,0,0,0,0,0
785,Riksrevisionens rapport om skyddet mot oegentligheter inom migrationsverksamheten vid utlandsmyndigheterna,1,0,0,0,0,0,1,0,0,0
786,Ny lag om säkerhetsskydd i riksdagen och dess myndigheter,1,0,0,0,0,0,1,0,0,0
787,Rättelse i lagar om ändring i offentlighets- och sekretesslagen,1,0,0,0,0,0,0,0,0,0
802,"Tryck- och yttrandefrihet, massmediefrågor",0,0,0,0,0,0,1,0,0,0
803,Följdändringar till ändrade mediegrundlagar,0,0,0,0,0,0,1,0,0,0
805,Kommunala och regionala frågor,1,0,0,0,0,0,1,0,0,0
806,"Kommittéberättelse - kommittéernas verksamhet under 2018, m.m.",1,0,0,0,0,0,0,0,0,0
807,Indelning i utgiftsområden,0,0,0,0,1,0,0,0,0,0
808,Verksamhetsredogörelser för riksdagens nämnder,0,0,0,0,0,0,1,0,0,0
809,Samlad struktur för tillhandahållande av lokal statlig service,1,0,0,0,0,1,1,0,0,0
810,Ändring i offentlighets- och sekretesslagen med anledning av lagen om bostadsanpassningsbidrag,1,0,0,0,1,0,0,0,0,0
811,Granskning av meddelande om att ytterligare stärka rättsstatsprincipen inom EU,0,0,0,0,0,0,1,0,0,0
812,"Översyn av Riksrevisionen - grundlagsfrågor (vilande grundlagsbeslut, m.m.)",1,0,0,0,0,0,0,0,0,0
813,Uppföljning av riksdagens tillämpning av subsidiaritetsprincipen,1,0,0,0,0,0,0,0,0,0
814,Riksrevisionens ledningsstruktur,1,0,0,0,0,0,0,0,0,0
816,Några frågor om tillämpning av offentlighetsprincipen,1,0,0,0,0,0,0,0,0,0
817,Ändringar i regleringen av Sametinget och sametingsvalet,1,0,0,0,0,0,0,0,0,0
818,Utgiftsområde 20 Allmän miljö- och naturvård,0,0,0,1,0,0,0,0,0,0
819,Kommissionens meddelande om en EU-ram för hormonstörande ämnen,0,0,0,0,0,0,0,0,0,0
823,Säkerhet vid geologisk lagring av koldioxid,0,0,0,1,0,0,1,0,0,0
824,Ansvar för miljöskador i Sveriges ekonomiska zon,0,0,0,1,0,0,0,0,0,0
825,Ändamålsenliga sanktioner mot otillåtna avfallstransporter,0,0,0,1,0,0,0,0,0,0
826,Riksrevisionens rapport om Landsbygdsprogrammet 2014-2020,1,0,0,0,1,0,0,0,0,0
829,"Utgiftsområde 23 Areella näringar, landsbygd och livsmedel",0,0,0,0,0,0,1,0,0,0
838,Kommissionens meddelande om den inre marknaden i en värld som förändras,1,0,0,0,1,0,0,0,0,0
843,Riksrevisionens rapport om försäljningarna av statens aktier i Nordea,1,0,0,0,1,0,0,0,0,0
844,Skydd för beteckningar som omfattas av EU:s handelsavtal med Japan,1,0,0,0,1,0,0,0,0,0
848,Modernare regler om varumärken och en ny lag om företagsnamn,1,0,0,0,1,0,0,0,0,0
849,Kompletterande bestämmelser till EU:s geoblockeringsförordning,1,0,0,0,1,0,0,0,0,0
852,Återköpsprogram av aktier i Telia Company AB,0,0,0,0,1,0,0,0,0,0
853,Utgiftsområde 10 Ekonomisk trygghet vid sjukdom och funktionsnedsättning,0,0,0,0,1,0,0,0,0,0
854,Moderna och rättssäkra regler för att hålla utlänningar i förvar,0,0,0,0,0,0,1,0,0,0
855,Föräldrapenning för fler familjekonstellationer och reserverad grundnivå,0,0,0,0,0,0,1,0,0,0
856,Riksrevisionens rapport om att nekas sjukersättning och aktivitetsersättning,1,0,0,0,0,0,0,1,0,0
857,Riksrevisionens rapporter om bedömningen av arbetsförmåga vid psykisk ohälsa och försäkringsmedicinskt beslutsstöd,0,0,0,0,0,0,0,1,0,0
858,Riksrevisionens rapport om förvaltningen av premiepensionssystemet,0,0,0,0,0,0,0,1,0,0
864,Utgiftsområde 11 Ekonomisk trygghet vid ålderdom,0,0,0,0,1,0,0,1,0,0
868,Avtal om social trygghet mellan Sverige och Filippinerna,1,0,0,0,0,0,1,0,0,0
869,Åtgärder för att mildra konsekvenserna på det sociala området med anledning av brexit,1,0,0,0,1,0,1,0,0,0
870,Åtgärder som underlättar för brittiska medborgare i Sverige vid ett avtalslöst brexit,1,0,0,0,1,0,1,0,0,0
871,Förlängning av lagen om tillfälliga begränsningar av möjligheten att få uppehållstillstånd i Sverige,1,0,0,0,0,0,1,0,0,0
872,Utgiftsområde 12 Ekonomisk trygghet för familjer och barn,0,0,0,0,1,1,0,0,0,0
874,Anpassning av utlänningsdatalagen till EU:s dataskyddsförordning,1,0,0,0,0,0,0,0,0,1
875,Riksrevisionens rapport om fastställande av föräldrapenning för egenföretagare,1,0,0,0,1,0,0,0,0,0
876,Regelförenklingar inom ekonomisk familjepolitik,1,0,0,0,1,0,0,0,0,0
877,Fortsatt utbetalning av garantipension inom EES och Schweiz,0,0,0,0,1,0,0,0,0,0
878,Riksrevisionens rapport om återkrav av bostadsbidrag,1,0,0,0,1,0,0,0,0,0
879,"Utgiftsområde 3 Skatt, tull och exekution",0,0,0,0,1,0,0,0,0,0
881,"Företag, kapital och fastighet",0,0,0,0,1,0,0,0,0,0
884,Skatteförfarande och folkbokföring,0,0,0,0,1,0,0,0,0,0
885,Avskaffad skattereduktion för fackföreningsavgift,0,0,0,0,1,0,0,0,0,0
886,Utökade möjligheter för Skatteverket att bekämpa brott,0,0,0,0,1,0,0,0,0,0
887,Nya skatteregler för ägarskiften mellan närstående i fåmansföretag,0,0,0,0,1,0,0,0,0,0
888,Avskaffad särskild löneskatt för äldre,0,0,0,0,1,0,0,0,0,0
889,Vissa inkomstskatteändringar,0,0,0,0,1,0,0,0,0,0
890,Vissa kontrollfrågor och andra frågor på punktskatteområdet,0,0,0,0,1,0,0,0,0,0
892,Återinförd skattereduktion för gåvor till ideell verksamhet,0,0,0,0,1,0,0,0,0,0
893,Befrielse från koldioxid- och energiskatt och förändrad omräkning av skatt för diesel och bensin,0,0,0,1,1,0,0,0,0,0
894,Redovisning av skatteutgifter 2019,0,0,0,0,1,0,0,0,0,0
895,Granskning av meddelande om ett förändrat beslutsfattande för EU:s skattepolitik,0,0,0,0,0,0,0,0,0,0
896,Beskattning av uthyrning av vårdpersonal,1,0,0,0,1,0,0,0,0,0
897,"Ändrade mervärdesskatteregler för telekommunikationstjänster, radio- och tv-sändningar och elektroniska tjänster",0,0,0,0,1,0,0,0,0,1
898,Genomförande av CFC-regler i EU:s direktiv mot skatteundandraganden,1,0,0,0,1,0,0,0,0,0
899,Ytterligare ändringar vad gäller automatiskt utbyte av upplysningar om finansiella konton och några andra skattefrågor,0,0,0,0,1,0,0,0,0,0
900,Ändring i skatteavtalet mellan Sverige och Ryssland och upphävande av förordning,0,0,0,0,1,0,0,0,0,0
901,Riksrevisionens rapport om investeringssparkonto,1,0,0,0,1,0,0,0,0,0
902,Riksrevisionens rapport om nedsatt moms på livsmedel,0,0,0,0,1,0,0,0,0,0
903,Höjda och miljödifferentierade vägavgifter inom eurovinjettsamarbetet,0,0,0,1,1,0,0,0,0,0
904,"Utgiftsområde 9 Hälsovård, sjukvård och social omsorg",0,0,0,0,0,0,0,1,0,0
905,"Alkohol-, narkotika-, dopnings- och tobaksfrågor",0,0,0,0,0,0,0,1,0,0
907,Stöd till personer med funktionsnedsättning,0,0,0,0,1,0,0,1,0,0
909,Riksrevisionens rapport om investeringsstödet till särskilda boenden för äldre,0,0,0,0,1,0,0,1,0,0
910,Frågor om psykisk ohälsa,0,0,0,0,0,0,0,1,0,0
911,Rättelse i lagen om stöd och service till vissa funktionshindrade,0,0,0,0,0,0,0,1,0,0
912,Kompletterande bestämmelser till lagen om tobak och liknande produkter,0,0,0,0,0,0,0,1,0,0
913,Reglering av alkoglass m.fl. produkter,0,0,0,0,0,0,0,1,0,0
915,Redovisning av fördelning av medel från Allmänna arvsfonden under budgetåret 2017,0,0,0,0,1,0,0,0,0,0
916,Omedelbart omhändertagande av barn i vissa internationella situationer,0,0,0,0,0,0,1,0,0,0
917,Ändringar av övergångsbestämmelse avseende behörighetsreglering,0,0,0,0,0,0,1,0,0,0
918,Anpassningar av svensk lag med anledning av EU-förordningen om säkerhetsdetaljer på läkemedel,1,0,0,0,0,0,0,1,0,0
919,Ny lag om tobak och liknande produkter,1,0,0,0,0,0,0,1,0,0
920,Biståndsbedömt trygghetsboende för äldre,0,0,0,0,1,0,0,1,0,0
921,Bastjänstgöring för läkare,0,0,0,0,0,0,1,1,0,0
922,Framtidens äldreomsorg - en nationell kvalitetsplan,0,0,0,0,0,0,0,1,0,0
923,Apoteks- och läkemedelsfrågor,0,0,0,0,0,0,0,1,0,0
924,Hälso- och sjukvårdsfrågor,0,0,0,0,0,0,0,1,0,0
925,Socialtjänst- och barnfrågor,0,0,0,0,0,0,1,1,0,0
927,"Ändringar i lagen om elektronisk kommunikation, toppdomänlagen och radioutrustningslagen",1,0,0,0,0,0,0,0,0,1
928,Yrkestrafik och taxi,0,0,0,0,1,0,0,0,0,0
929,Behandling av personuppgifter samt registrering och användning av fordon på vägtrafikområdet,0,0,0,0,0,0,1,0,0,0
933,Väg- och fordonsfrågor,0,0,0,0,0,0,1,0,0,0
935,Fyrstegsprincipen inom planeringen av transportinfrastruktur,0,0,0,0,0,0,1,0,0,0
936,Ett ändrat prishöjningstak för frimärkta brev,0,0,0,0,1,0,0,0,0,0
937,Genomförande av webbtillgänglighetsdirektivet,0,0,0,0,0,0,0,0,0,1
938,Kommissionens EU-strategi för automatiserad och uppkopplad rörlighet,0,0,0,0,0,0,0,0,0,1
939,It- och postfrågor,0,0,0,0,0,0,0,0,0,1
943,Kompletterande bestämmelser till EU:s hamntjänstförordning,1,0,0,0,0,0,0,0,0,0
944,Kompletterande bestämmelser till EU:s förordning om gränsöverskridande paketleveranstjänster,1,0,0,0,0,0,0,0,0,0
945,Utgiftsområde 16 Utbildning och universitetsforskning,0,1,0,0,0,0,0,0,0,0
946,Övergripande skolfrågor,0,1,0,0,0,0,0,0,0,0
952,Långsiktiga effekter av utökade valmöjligheter till gymnasieskolan,0,1,0,0,0,0,0,0,0,0
953,Frågor om otillåten spridning av nationella prov och om att införa särskilda regleringar för idrottsgymnasier,1,1,0,0,0,0,0,0,0,0
954,Myndighetsreformen då Universitets- och högskolerådet och Universitetskanslersämbetet inrättades,0,1,0,0,0,0,0,0,0,0
955,Stiftelsen Riksbankens Jubileumsfonds verksamhet och årsredovisning 2018,0,0,0,0,1,0,0,0,0,0
956,Utgiftsområde 15 Studiestöd,0,1,0,0,1,0,0,0,0,0
957,Ändring av sammansättningen av Skolväsendets överklagandenämnd,0,1,0,0,0,0,0,0,0,0
958,Ny ordning för att främja god sed och hantera oredlighet i forskning,0,1,0,0,0,0,0,0,0,1
959,En strategi för svensk rymdverksamhet,0,0,0,0,0,0,0,0,0,1
960,En nationell strategi för ESS och den omgivande kunskapsmiljön,0,1,0,0,0,0,0,0,0,0
961,Behandling av personuppgifter för forskningsändamål,0,1,0,0,0,0,0,0,0,1
962,Lärosätenas lokalförsörjning,0,1,0,0,0,0,0,0,0,0
964,Grundläggande om utbildningen,0,1,0,0,0,0,0,0,0,0
965,Lärare och elever,0,1,0,0,0,0,0,0,0,0
966,Fortsatt svenskt deltagande i Natos utbildnings- och rådgivningsinsats Resolute Support Mission i Afghanistan,0,1,0,0,0,0,1,0,0,0
967,Fortsatt svenskt deltagande i den militära utbildningsinsatsen i Irak,0,1,0,0,0,0,0,0,0,0
968,Svenskt deltagande i Förenta nationernas stabiliseringsinsats i Mali,0,1,0,0,0,0,0,0,0,0
970,Utgiftsområde 5 Internationell samverkan,0,0,0,0,0,0,1,0,0,0
971,Verksamheten i Europeiska unionen under 2018,0,0,0,0,0,0,1,0,0,0
972,Den parlamentariska församlingen för Unionen för Medelhavet (PA-UfM),0,0,0,0,0,0,1,0,0,0
974,"Fördjupat partnerskaps- och samarbetsavtal mellan Europeiska unionen och dess medlemsstater, å ena sidan, och Republiken Armenien, å andra sidan",0,0,0,0,0,0,1,0,0,0
976,Utgiftsområde 7 Internationellt bistånd,0,0,0,0,1,0,1,0,0,0
977,"Avtal om politisk dialog och samarbete mellan Europeiska unionen och dess medlemsstater, å ena sidan, och Republiken Kuba, å andra sidan",1,0,0,0,0,0,0,0,0,0
979,Organisationen för säkerhet och samarbete i Europa (OSSE),0,0,0,0,0,0,1,0,0,0
981,Interparlamentariska unionen (IPU),1,0,0,0,0,0,0,0,0,0
982,Sveriges medlemskap i FN:s säkerhetsråd 2017-2018,0,0,0,0,0,0,1,0,0,0
983,Strategisk exportkontroll 2018 - krigsmateriel och produkter med dubbla användningsområden,0,0,0,0,0,0,1,0,0,0
984,Utgiftsområde 13 Jämställdhet och nyanlända invandrares etablering,0,0,0,0,0,0,1,0,0,0
985,Arbetsmiljö och arbetstid,0,0,0,0,1,0,0,0,0,0
986,Riksrevisionens rapport om stöd till start av näringsverksamhet - långsiktiga effekter och Arbetsförmedlingens arbetssätt,0,0,0,0,1,0,0,0,0,0
987,Förutsättningar för etableringsjobb och vissa frågor om kontroll inom den arbetsmarknadspolitiska verksamheten,0,0,0,0,1,0,0,0,0,0
988,Utvidgad tillträdesrätt för de regionala skyddsombuden,0,0,0,0,0,0,1,0,0,0
989,Mer likabehandling och ett stärkt skydd vid utstationering,0,0,0,0,0,0,1,0,0,0
990,Utgiftsområde 14 Arbetsmarknad och arbetsliv,0,0,0,0,1,0,0,0,0,0
991,Behandling av personuppgifter vid Myndigheten för arbetsmiljökunskap,0,0,0,0,1,0,0,0,0,0
992,Arbetsmarknadspolitik och arbetslöshetsförsäkringen,0,0,0,0,1,0,0,0,0,0
993,Riksrevisionens rapport om diskrimineringslagens krav på lönekartläggning,0,0,0,0,1,0,0,0,0,0
994,Riksrevisionens rapport om Arbetsförmedlingens matchningsarbete,0,0,0,0,1,0,0,0,0,0
995,Jämställdhet och åtgärder mot diskriminering,0,0,0,0,1,0,1,0,0,0
998,"Utgiftsområde 18 Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",0,0,0,0,1,0,0,0,0,0
1001,Ersättningsrätt och insolvensrätt,0,0,0,0,1,0,0,0,0,0
1004,Hushållningen med mark- och vattenområden,0,0,0,1,1,0,0,0,0,0
1005,Planering och byggande,0,0,0,0,1,0,0,0,0,0
1007,Genomförande av EU:s ändringsdirektiv om byggnaders energiprestanda,0,0,0,0,1,0,0,0,0,0
1008,Tydligare regler vid konsumentavtal,0,0,0,0,1,0,0,0,0,0
1009,Elektroniska fraktsedlar vid vägtransport,0,0,0,0,1,0,0,0,0,1
1011,Kompletteringar till nya EU-regler om aktieägares rättigheter,1,0,0,0,1,0,0,0,0,0
1012,Större komplementbyggnader,0,0,0,0,1,0,0,0,0,0
1013,Nya befogenheter på konsumentskyddsområdet,0,0,0,0,1,0,0,0,0,0
1014,Riksrevisionens rapport om konsumentskyddet på det finansiella området,0,0,0,0,1,0,0,0,0,0
1015,Riksrevisionens rapporter om stödet till kommuner för ökat bostadsbyggande och om stöd till renovering och energieffektivisering,1,0,0,0,1,0,0,0,0,0
1016,Tillfälliga åtgärder för att underlätta genomförandet av bolags- och föreningsstämmor,0,0,0,0,1,0,0,0,0,0
1017,Undantag från plan- och bygglagen vid spridning av en samhällsfarlig sjukdom,0,0,0,0,1,0,0,1,0,0
1018,Personligt betalningsansvar i aktiebolag,0,0,0,0,1,0,0,0,0,0
1019,Fler tillfälliga åtgärder för att underlätta genomförandet av bolags- och föreningsstämmor,0,0,0,0,1,0,0,0,0,0
1020,Byggnaders energiprestanda,0,0,0,0,1,0,0,0,0,0
1021,Digitaliserade hyresförhandlingar,0,0,0,0,0,0,0,0,0,1
1022,Lägre kapitalkrav för privata aktiebolag,0,0,0,0,1,0,0,0,0,0
1030,En ny reglering för tjänstepensionsföretag,0,0,0,0,1,0,0,0,0,0
1031,Nya regler för pensionsstiftelser med anledning av andra tjänstepensionsdirektivet,1,0,0,0,0,0,0,0,0,0
1032,En effektivare flytträtt av försäkringssparande,0,0,0,0,1,0,0,0,0,0
1033,Skärpta åtgärder mot penningtvätt och finansiering av terrorism,0,0,0,0,1,0,1,0,0,0
1034,Statistik på upphandlingsområdet,0,0,0,0,0,0,1,0,0,0
1036,Ändringar i kostnadsutjämningen för kommuner och landsting,0,0,0,0,1,0,0,0,0,0
1037,Kompletterande bestämmelser till EU:s förordning om värdepapperisering,0,0,0,0,1,0,0,0,0,0
1038,Utgiftsområde 2 Samhällsekonomi och finansförvaltning,0,0,0,0,1,0,1,0,0,0
1039,Riktlinjer för den ekonomiska politiken,0,0,0,0,1,0,0,0,0,0
1041,Finansiell stabilitet och finansmarknadsfrågor,0,0,0,0,1,0,0,0,0,0
1042,Riksbankens förvaltning 2019,0,0,0,0,1,0,0,0,0,0
1043,Utvärdering av penningpolitiken för perioden 2017-2019,0,0,0,0,1,0,0,0,0,0
1046,Vissa ytterligare ändringar av placeringsreglerna för Första-Fjärde AP-fonderna,0,0,0,0,1,0,0,0,0,0
1047,Ingripanden mot utländska kreditinstitut och vissa andra penningtvättsfrågor,0,0,0,0,1,0,1,0,0,0
1048,Skyldighet för kreditinstitut att tillhandahålla kontanttjänster,0,0,0,0,1,0,0,0,0,0
1049,Utgiftsområde 25 Allmänna bidrag till kommuner,1,0,0,0,1,0,0,0,0,0
1051,Några frågor om straff för marknadsmissbruk,0,0,0,0,1,0,1,0,0,0
1052,Återkoppling vid rapportering om misstänkt penningtvätt och finansiering av terrorism och vissa andra frågor,0,0,0,0,1,0,1,0,0,0
1053,Ett nytt konto- och värdefackssystem,0,0,0,0,1,0,0,0,0,0
1055,Riksrevisionens rapport om risker med föråldrade it-system i statsförvaltningen,1,0,0,0,0,0,0,0,0,1
1056,Finansiella företags uppgifter till Riksgäldskontoret och vissa betaltjänstfrågor,1,0,0,0,1,0,0,0,0,0
1057,Presentation av betalningssätt vid marknadsföring av betaltjänster online,0,0,0,0,1,0,0,0,0,1
1058,Ersättningsbeloppet i insättningsgarantin och vissa andra frågor,0,0,0,0,1,0,0,0,0,0
1059,Riksrevisionens rapport om det kommunala utjämningssystemet,1,0,0,0,0,0,0,0,0,0
1060,Utgiftsområde 26 Statsskuldsräntor m.m.,1,0,0,0,1,0,0,0,0,0
1061,Vissa frågor om försäkring och tjänstepension,0,0,0,0,1,0,0,0,0,0
1062,Anpassade regler för understödsföreningar som inte är tjänstepensionskassor,1,0,0,0,1,0,0,0,0,0
1063,Bilateralt avtal mellan Europeiska unionen och Amerikas förenta stater om tillsynsregler för försäkring och återförsäkring,1,0,0,0,1,0,0,0,0,0
1064,Riksrevisionens rapport om nationalräkenskaperna - en stabilare grund för finanspolitiken,1,0,0,0,1,0,0,0,0,0
1065,Riksrevisionens rapport om tillämpningen av det finanspolitiska ramverket 2019,1,0,0,0,1,0,0,0,0,0
1066,Utvärdering av statens upplåning och skuldförvaltning 2015-2019,1,0,0,0,1,0,0,0,0,0
1067,Riksrevisionens rapport om Svenska skeppshypotekskassan,1,0,0,0,1,0,0,0,0,0
1068,Medgivande för Riksbanken att delta i Internationella valutafondens finansieringslösning,1,0,0,0,1,0,0,0,0,0
1070,Ändringar i statens budget för 2020 - Stöd till kommunsektorn för att stärka välfärden,1,0,0,0,1,0,0,0,0,0
1071,Utgiftsområde 27 Avgiften till Europeiska unionen,1,0,0,0,1,0,0,0,0,0
